"date","value"
[2009-01-03,1.0]
[2009-01-09,1.0]
[2009-01-10,1.0]
[2009-01-11,1.0]
[2009-01-12,1.0729166666666667]
[2009-01-13,1.0]
[2009-01-14,1.0078740157480315]
[2009-01-15,1.062015503875969]
[2009-01-16,1.0185185185185186]
[2009-01-17,1.0]
[2009-01-18,1.0093457943925233]
[2009-01-19,1.017391304347826]
[2009-01-20,1.0087719298245614]
[2009-01-21,1.009433962264151]
[2009-01-22,1.0119047619047619]
[2009-01-23,1.0246913580246915]
[2009-01-24,1.0049261083743843]
[2009-01-25,1.0052083333333333]
[2009-01-26,1.010204081632653]
[2009-01-27,1.010204081632653]
[2009-01-28,1.0]
[2009-01-29,1.0081967213114753]
[2009-01-30,1.0]
[2009-01-31,1.0072992700729928]
[2009-02-01,1.0089285714285714]
[2009-02-02,1.0078740157480315]
[2009-02-03,1.102189781021898]
[2009-02-04,1.0161290322580645]
[2009-02-05,1.0]
[2009-02-06,1.0]
[2009-02-07,1.0310077519379846]
[2009-02-08,1.0075187969924813]
[2009-02-09,1.0076923076923077]
[2009-02-10,1.0]
[2009-02-11,1.0075757575757576]
[2009-02-12,1.008130081300813]
[2009-02-13,1.0]
[2009-02-14,1.0]
[2009-02-15,1.024390243902439]
[2009-02-16,1.0080645161290323]
[2009-02-17,1.0]
[2009-02-18,1.0]
[2009-02-19,1.0]
[2009-02-20,1.0080645161290323]
[2009-02-21,1.0]
[2009-02-22,1.0327868852459017]
[2009-02-23,1.0]
[2009-02-24,1.0]
[2009-02-25,1.0]
[2009-02-26,1.0]
[2009-02-27,1.0085470085470085]
[2009-02-28,1.0101010101010102]
[2009-03-01,1.0]
[2009-03-02,1.0]
[2009-03-03,1.0194174757281553]
[2009-03-04,1.009433962264151]
[2009-03-05,1.0091743119266054]
[2009-03-06,1.0082644628099173]
[2009-03-07,1.0]
[2009-03-08,1.0263157894736843]
[2009-03-09,1.0]
[2009-03-10,1.0]
[2009-03-11,1.0]
[2009-03-12,1.0084033613445378]
[2009-03-13,1.0089285714285714]
[2009-03-14,1.0]
[2009-03-15,1.0]
[2009-03-16,1.008130081300813]
[2009-03-17,1.0]
[2009-03-18,1.0]
[2009-03-19,1.0165289256198347]
[2009-03-20,1.0084033613445378]
[2009-03-21,1.0]
[2009-03-22,1.017391304347826]
[2009-03-23,1.0]
[2009-03-24,1.0]
[2009-03-25,1.0]
[2009-03-26,1.008695652173913]
[2009-03-27,1.0]
[2009-03-28,1.025]
[2009-03-29,1.0]
[2009-03-30,1.0]
[2009-03-31,1.008849557522124]
[2009-04-01,1.0]
[2009-04-02,1.0]
[2009-04-03,1.0]
[2009-04-04,1.0]
[2009-04-05,1.0155038759689923]
[2009-04-06,1.0]
[2009-04-07,1.0]
[2009-04-08,1.0]
[2009-04-09,1.0]
[2009-04-10,1.0]
[2009-04-11,1.008130081300813]
[2009-04-12,1.0087719298245614]
[2009-04-13,1.0169491525423728]
[2009-04-14,1.0]
[2009-04-15,1.0]
[2009-04-16,1.0]
[2009-04-17,1.0]
[2009-04-18,1.0317460317460319]
[2009-04-19,1.0084745762711864]
[2009-04-20,1.0169491525423728]
[2009-04-21,1.008130081300813]
[2009-04-22,1.0]
[2009-04-23,1.0]
[2009-04-24,1.0]
[2009-04-25,1.0]
[2009-04-26,1.0175438596491229]
[2009-04-27,1.0]
[2009-04-28,1.0]
[2009-04-29,1.008]
[2009-04-30,1.0]
[2009-05-01,1.0]
[2009-05-02,1.0158730158730158]
[2009-05-03,1.02803738317757]
[2009-05-04,1.0]
[2009-05-05,1.0072463768115942]
[2009-05-06,1.0076335877862594]
[2009-05-07,1.0]
[2009-05-08,1.0]
[2009-05-09,1.0]
[2009-05-10,1.0]
[2009-05-11,1.0083333333333333]
[2009-05-12,1.0]
[2009-05-13,1.043103448275862]
[2009-05-14,1.0225563909774436]
[2009-05-15,1.0]
[2009-05-16,1.0084033613445378]
[2009-05-17,1.0]
[2009-05-18,1.0]
[2009-05-19,1.0]
[2009-05-20,1.0]
[2009-05-21,1.0]
[2009-05-22,1.0]
[2009-05-23,1.0]
[2009-05-24,1.0]
[2009-05-25,1.0]
[2009-05-26,1.0]
[2009-05-27,1.0]
[2009-05-28,1.0]
[2009-05-29,1.0092592592592593]
[2009-05-30,1.0]
[2009-05-31,1.0]
[2009-06-01,1.0140845070422535]
[2009-06-02,1.0]
[2009-06-03,1.0]
[2009-06-04,1.0]
[2009-06-05,1.0]
[2009-06-06,1.0]
[2009-06-07,1.0]
[2009-06-08,1.0]
[2009-06-09,1.0]
[2009-06-10,1.0]
[2009-06-11,1.0]
[2009-06-12,1.0]
[2009-06-13,1.0]
[2009-06-14,1.0]
[2009-06-15,1.0]
[2009-06-16,1.0]
[2009-06-17,1.0]
[2009-06-18,1.0]
[2009-06-19,1.0]
[2009-06-20,1.0]
[2009-06-21,1.0]
[2009-06-22,1.0128205128205128]
[2009-06-23,1.0]
[2009-06-24,1.0222222222222221]
[2009-06-25,1.0]
[2009-06-26,1.011111111111111]
[2009-06-27,1.0]
[2009-06-28,1.0212765957446808]
[2009-06-29,1.0128205128205128]
[2009-06-30,1.011111111111111]
[2009-07-01,1.0129870129870129]
[2009-07-02,1.0]
[2009-07-03,1.0125]
[2009-07-04,1.0]
[2009-07-05,1.0]
[2009-07-06,1.0]
[2009-07-07,1.0]
[2009-07-08,1.0]
[2009-07-09,1.0]
[2009-07-10,1.0]
[2009-07-11,1.0]
[2009-07-12,1.0]
[2009-07-13,1.0]
[2009-07-14,1.0]
[2009-07-15,1.0]
[2009-07-16,1.0]
[2009-07-17,1.0]
[2009-07-18,1.0]
[2009-07-19,1.0]
[2009-07-20,1.0]
[2009-07-21,1.0125]
[2009-07-22,1.0]
[2009-07-23,1.0]
[2009-07-24,1.0]
[2009-07-25,1.0]
[2009-07-26,1.0]
[2009-07-27,1.0]
[2009-07-28,1.0]
[2009-07-29,1.0416666666666667]
[2009-07-30,1.0769230769230769]
[2009-07-31,1.0]
[2009-08-01,1.0]
[2009-08-02,1.0]
[2009-08-03,1.0]
[2009-08-04,1.0]
[2009-08-05,1.0]
[2009-08-06,1.0]
[2009-08-07,1.0]
[2009-08-08,1.011764705882353]
[2009-08-09,1.0]
[2009-08-10,1.0]
[2009-08-11,1.0]
[2009-08-12,1.0]
[2009-08-13,1.0]
[2009-08-14,1.0]
[2009-08-15,1.0]
[2009-08-16,1.0]
[2009-08-17,1.0]
[2009-08-18,1.0]
[2009-08-19,1.0]
[2009-08-20,1.0]
[2009-08-21,1.0]
[2009-08-22,1.0]
[2009-08-23,1.0]
[2009-08-24,1.0]
[2009-08-25,1.0]
[2009-08-26,1.069767441860465]
[2009-08-27,1.0]
[2009-08-28,1.0]
[2009-08-29,1.0]
[2009-08-30,1.010752688172043]
[2009-08-31,1.0108695652173914]
[2009-09-01,1.0]
[2009-09-02,1.0]
[2009-09-03,1.0163934426229508]
[2009-09-04,1.0]
[2009-09-05,1.0]
[2009-09-06,1.0]
[2009-09-07,1.0126582278481013]
[2009-09-08,1.0]
[2009-09-09,1.0]
[2009-09-10,1.0]
[2009-09-11,1.0]
[2009-09-12,1.0]
[2009-09-13,1.0]
[2009-09-14,1.0]
[2009-09-15,1.0]
[2009-09-16,1.0149253731343284]
[2009-09-17,1.011764705882353]
[2009-09-18,1.0]
[2009-09-19,1.0]
[2009-09-20,1.0]
[2009-09-21,1.0138888888888888]
[2009-09-22,1.0357142857142858]
[2009-09-23,1.0]
[2009-09-24,1.0]
[2009-09-25,1.021978021978022]
[2009-09-26,1.0]
[2009-09-27,1.0113636363636365]
[2009-09-28,1.0]
[2009-09-29,1.0232558139534884]
[2009-09-30,1.0]
[2009-10-01,1.0]
[2009-10-02,1.0133333333333334]
[2009-10-03,1.0]
[2009-10-04,1.0]
[2009-10-05,1.0]
[2009-10-06,1.0465116279069768]
[2009-10-07,1.0]
[2009-10-08,1.0]
[2009-10-09,1.0]
[2009-10-10,1.0]
[2009-10-11,1.0]
[2009-10-12,1.0172413793103448]
[2009-10-13,1.0]
[2009-10-14,1.0]
[2009-10-15,1.0]
[2009-10-16,1.0163934426229508]
[2009-10-17,1.0]
[2009-10-18,1.0138888888888888]
[2009-10-19,1.0]
[2009-10-20,1.0]
[2009-10-21,1.0125]
[2009-10-22,1.0227272727272727]
[2009-10-23,1.0]
[2009-10-24,1.0169491525423728]
[2009-10-25,1.0]
[2009-10-26,1.0]
[2009-10-27,1.0153846153846153]
[2009-10-28,1.0]
[2009-10-29,1.0476190476190477]
[2009-10-30,1.0]
[2009-10-31,1.0]
[2009-11-01,1.0]
[2009-11-02,1.0]
[2009-11-03,1.0]
[2009-11-04,1.0166666666666666]
[2009-11-05,1.0]
[2009-11-06,1.0]
[2009-11-07,1.0]
[2009-11-08,1.0]
[2009-11-09,1.0]
[2009-11-10,1.0]
[2009-11-11,1.1363636363636365]
[2009-11-12,1.0]
[2009-11-13,1.0375]
[2009-11-14,1.0]
[2009-11-15,1.0]
[2009-11-16,1.0]
[2009-11-17,1.0]
[2009-11-18,1.0]
[2009-11-19,1.027027027027027]
[2009-11-20,1.0]
[2009-11-21,1.0]
[2009-11-22,1.0]
[2009-11-23,1.0]
[2009-11-24,1.0]
[2009-11-25,1.0]
[2009-11-26,1.0]
[2009-11-27,1.0]
[2009-11-28,1.0]
[2009-11-29,1.0]
[2009-11-30,1.0]
[2009-12-01,1.0142857142857142]
[2009-12-02,1.0]
[2009-12-03,1.0]
[2009-12-04,1.0]
[2009-12-05,1.0166666666666666]
[2009-12-06,1.0192307692307692]
[2009-12-07,1.0]
[2009-12-08,1.018348623853211]
[2009-12-09,1.1157894736842104]
[2009-12-10,1.02]
[2009-12-11,1.0]
[2009-12-12,1.018348623853211]
[2009-12-13,1.0]
[2009-12-14,1.0495049504950495]
[2009-12-15,1.0175438596491229]
[2009-12-16,1.007462686567164]
[2009-12-17,1.018181818181818]
[2009-12-18,1.0]
[2009-12-19,1.0049751243781095]
[2009-12-20,1.0]
[2009-12-21,1.0056179775280898]
[2009-12-22,1.0]
[2009-12-23,1.0]
[2009-12-24,1.0]
[2009-12-25,1.0064935064935066]
[2009-12-26,1.0]
[2009-12-27,1.005952380952381]
[2009-12-28,1.0]
[2009-12-29,1.0]
[2009-12-30,1.0]
[2009-12-31,1.0]
[2010-01-01,1.0077519379844961]
[2010-01-02,1.0078740157480315]
[2010-01-03,1.0]
[2010-01-04,1.011049723756906]
[2010-01-05,1.0]
[2010-01-06,1.0]
[2010-01-07,1.0]
[2010-01-08,1.0]
[2010-01-09,1.0]
[2010-01-10,1.0]
[2010-01-11,1.0]
[2010-01-12,1.0123456790123457]
[2010-01-13,1.0125]
[2010-01-14,1.0132450331125828]
[2010-01-15,1.0]
[2010-01-16,1.0078125]
[2010-01-17,1.0075187969924813]
[2010-01-18,1.008130081300813]
[2010-01-19,1.0]
[2010-01-20,1.0]
[2010-01-21,1.0511363636363635]
[2010-01-22,1.0220588235294117]
[2010-01-23,1.0129032258064516]
[2010-01-24,1.006578947368421]
