nodeID,valueCount
22272,998
19810,322
906,165
7267,135
28469,121
6450,111
10986,100
32432,94
27864,89
21081,86
29064,74
151,69
18572,45
7253,42
10597,40
7594,26
29214,21
7779,18
24553,17
16596,16
18424,13
4140,12
11438,10
14442,10
27506,10
8378,9
30967,8
27071,8
781,8
6265,7
28208,7
16207,6
22690,6
26166,6
16791,5
31695,5
11027,5
27014,5
4367,5
30703,4
25571,4
6151,4
12766,4
9546,4
13417,4
15105,3
18285,3
16134,3
7602,3
186,3
17367,3
7185,3
10896,3
11630,3
29911,3
14132,3
27086,3
15564,3
9784,3
3530,3
1932,2
26250,2
2765,2
12795,2
3374,2
19014,2
23078,2
11396,2
23325,2
28653,2
17274,2
10222,2
5050,2
28309,2
4081,2
29553,2
26057,2
32513,2
22874,2
