LabelPropagation,Frequency
2,49833
3,19766
4,8688
5,4362
6,2499
7,1590
8,1111
9,846
10,651
11,498
12,402
13,328
14,299
15,270
16,219
17,189
18,167
19,135
20,134
21,121
22,109
23,99
26,90
24,90
25,85
27,69
28,67
29,56
30,49
33,44
34,43
31,43
32,39
37,35
35,34
42,31
41,30
38,30
46,30
36,29
47,27
43,26
48,26
40,24
53,22
39,20
50,19
51,19
64,18
44,18
54,17
49,17
73,17
61,17
69,17
55,16
57,16
60,16
58,15
76,15
66,14
59,14
71,14
68,14
52,14
62,13
67,13
65,12
72,12
56,12
85,12
45,12
74,11
77,10
75,10
63,9
80,9
93,9
107,8
96,8
105,8
94,8
79,8
88,8
83,7
91,7
87,7
101,7
129,7
70,7
100,6
102,6
117,6
86,6
95,6
104,6
106,6
78,6
97,6
84,5
119,5
110,5
98,5
142,4
108,4
166,4
81,4
90,4
112,4
139,4
120,4
200,4
82,4
198,3
130,3
157,3
153,3
134,3
92,3
137,3
121,3
109,3
287,3
113,3
144,3
236,3
103,3
257,3
138,3
89,3
122,3
99,3
231,3
183,3
264,2
190,2
201,2
116,2
181,2
124,2
128,2
111,2
177,2
132,2
288,2
199,2
308,2
125,2
140,2
135,2
204,2
161,2
234,2
150,2
377,2
247,2
131,2
127,2
162,2
118,2
302,2
289,2
194,2
151,2
159,2
152,2
169,2
270,1
222,1
293,1
502,1
196,1
532,1
184,1
551,1
274,1
202,1
326,1
2759,1
365,1
193,1
2740,1
271,1
146,1
174,1
592,1
509,1
226,1
114,1
928,1
1909,1
319,1
115,1
250,1
349,1
185,1
719,1
1266,1
168,1
218,1
123,1
225,1
576,1
435,1
206,1
544,1
186,1
1619,1
290,1
514,1
750,1
615,1
869,1
433,1
230,1
163,1
2538,1
524,1
172,1
216,1
286,1
5077,1
601,1
173,1
315,1
223,1
165,1
582,1
256,1
217,1
147,1
1139,1
267,1
148,1
458,1
211,1
418,1
278,1
367,1
847,1
299,1
155,1
1042,1
237,1
347,1
149,1
136,1
417,1
420,1
187,1
232,1
145,1
227,1
699,1
268,1
320,1
255,1
158,1
397,1
209,1
170,1
384,1
207,1
671,1
235,1
219,1
537,1
332,1
2265,1
220,1
653,1
156,1
841,1
776,1
295,1
141,1
1261,1
171,1
269,1
154,1
164,1
176,1
495,1
298,1
475,1
238,1
472,1
470,1
133,1
643,1
240,1
281,1
261,1
