"date","value"
2009-01-03,2
2009-01-09,14
2009-01-10,56
2009-01-11,92
2009-01-12,103
2009-01-13,122
2009-01-14,128
2009-01-15,137
2009-01-16,110
2009-01-17,109
2009-01-18,108
2009-01-19,117
2009-01-20,115
2009-01-21,107
2009-01-22,85
2009-01-23,83
2009-01-24,204
2009-01-25,193
2009-01-26,99
2009-01-27,99
2009-01-28,111
2009-01-29,123
2009-01-30,117
2009-01-31,138
2009-02-01,113
2009-02-02,128
2009-02-03,151
2009-02-04,126
2009-02-05,124
2009-02-06,123
2009-02-07,133
2009-02-08,134
2009-02-09,131
2009-02-10,121
2009-02-11,133
2009-02-12,124
2009-02-13,123
2009-02-14,137
2009-02-15,126
2009-02-16,125
2009-02-17,116
2009-02-18,122
2009-02-19,122
2009-02-20,125
2009-02-21,112
2009-02-22,126
2009-02-23,109
2009-02-24,106
2009-02-25,106
2009-02-26,105
2009-02-27,118
2009-02-28,100
2009-03-01,104
2009-03-02,108
2009-03-03,105
2009-03-04,107
2009-03-05,110
2009-03-06,122
2009-03-07,108
2009-03-08,117
2009-03-09,109
2009-03-10,106
2009-03-11,113
2009-03-12,120
2009-03-13,113
2009-03-14,110
2009-03-15,124
2009-03-16,124
2009-03-17,113
2009-03-18,113
2009-03-19,123
2009-03-20,120
2009-03-21,55
2009-03-22,117
2009-03-23,130
2009-03-24,105
2009-03-25,116
2009-03-26,116
2009-03-27,107
2009-03-28,123
2009-03-29,105
2009-03-30,126
2009-03-31,114
2009-04-01,109
2009-04-02,120
2009-04-03,111
2009-04-04,116
2009-04-05,131
2009-04-06,112
2009-04-07,99
2009-04-08,104
2009-04-09,97
2009-04-10,108
2009-04-11,124
2009-04-12,115
2009-04-13,120
2009-04-14,122
2009-04-15,116
2009-04-16,122
2009-04-17,112
2009-04-18,130
2009-04-19,119
2009-04-20,120
2009-04-21,124
2009-04-22,118
2009-04-23,79
2009-04-24,113
2009-04-25,119
2009-04-26,116
2009-04-27,103
2009-04-28,119
2009-04-29,126
2009-04-30,133
2009-05-01,120
2009-05-02,128
2009-05-03,110
2009-05-04,125
2009-05-05,139
2009-05-06,132
2009-05-07,121
2009-05-08,117
2009-05-09,81
2009-05-10,76
2009-05-11,121
2009-05-12,128
2009-05-13,121
2009-05-14,136
2009-05-15,140
